objectid,eacode,secter_in_180,lisa_i_secter,lisa_cl_secter,lisa_p_secter,moran_std_secter,moran_lag_secter
152,30402009,3,.13487053,not significant,.12899999,.33982837,.39687836
153,31106015,0,.18519826,low-low,.012,-.43034667,-.43034667
154,10505013,2,-.000205402,not significant,.278,.083103359,-.0024716491
155,30106048,0,.16678479,not significant,.106,-.43034667,-.38755918
156,30803035,2,.0069061681,not significant,.359,.083103359,.083103359
157,20304001,0,.18519826,low-low,.014,-.43034667,-.43034667
158,30404023,0,.18519826,low-low,.048,-.43034667,-.43034667
159,30103027,0,.15363233,not significant,.15700001,-.43034667,-.35699666
160,20507038,0,.18519826,not significant,.17399999,-.43034667,-.43034667
161,30805033,0,.15363233,not significant,.153,-.43034667,-.35699666
162,20908048,0,.16064698,not significant,.079000004,-.43034667,-.37329668
163,20610001,0,.18519826,low-low,.025,-.43034667,-.43034667
164,30703010,0,.14837134,not significant,.221,-.43034667,-.34477165
165,20403040,0,.18519826,not significant,.052999999,-.43034667,-.43034667
166,20701015,1,.037573315,not significant,.49200001,-.17362165,-.21640916
167,30535011,11,5.7294574,high-high,.001,2.3936284,2.3936284
168,20804041,0,.18519826,low-low,.0060000001,-.43034667,-.43034667
169,30508030,0,.18519826,low-low,.017999999,-.43034667,-.43034667
170,30703024,1,.019001223,not significant,.33899999,-.17362165,-.1094404
171,31101003,0,.18519826,low-low,.0089999996,-.43034667,-.43034667
172,10204902,0,.18519826,not significant,.447,-.43034667,-.43034667
173,30107022,0,.18519826,low-low,.026000001,-.43034667,-.43034667
174,31103001,1,.045002155,not significant,.39500001,-.17362165,-.25919667
175,20907008,0,.18519826,low-low,.014,-.43034667,-.43034667
176,30105025,1,.030144479,not significant,.493,-.17362165,-.17362165
177,10306002,1,.030144479,not significant,.389,-.17362165,-.17362165
178,20604013,0,.18519826,low-low,.033,-.43034667,-.43034667
179,31202040,0,.18519826,low-low,.032000002,-.43034667,-.43034667
180,20404014,1,.030144479,not significant,.48300001,-.17362165,-.17362165
181,10507029,0,.18519826,not significant,.057,-.43034667,-.43034667
182,20606011,0,.18519826,low-low,.0060000001,-.43034667,-.43034667
